-5 5.31663
-4.9 5.27866
-4.8 5.24068
-4.7 5.20271
-4.6 5.16473
-4.5 5.12676
-4.4 5.08878
-4.3 5.05081
-4.2 5.01283
-4.1 4.97486
-4 4.93688
-3.9 4.89891
-3.8 4.86094
-3.7 4.82296
-3.6 4.78499
-3.5 4.74701
-3.4 4.70904
-3.3 4.67106
-3.2 4.63309
-3.1 4.59511
-3 4.55714
-2.9 4.51916
-2.8 4.48119
-2.7 4.44321
-2.6 4.40524
-2.5 4.36727
-2.4 4.32929
-2.3 4.29132
-2.2 4.25334
-2.1 4.21537
-2 4.17739
-1.9 4.13942
-1.8 4.10144
-1.7 4.06347
-1.6 4.02549
-1.5 3.98752
-1.4 3.94954
-1.3 3.91157
-1.2 3.8736
-1.1 3.83562
-1 3.79765
-0.9 3.75967
-0.8 3.7217
-0.7 3.68372
-0.6 3.64575
-0.5 3.60777
-0.4 3.5698
-0.3 3.53182
-0.2 3.49385
-0.1 3.45588
-1.02696e-15 3.4179
0.1 3.37993
0.2 3.34195
0.3 3.30398
0.4 3.266
0.5 3.22803
0.6 3.19005
0.7 3.15208
0.8 3.1141
0.9 3.07613
1 3.03815
1.1 3.00018
1.2 2.96221
1.3 2.92423
1.4 2.88626
1.5 2.84828
1.6 2.81031
1.7 2.77233
1.8 2.73436
1.9 2.69638
2 2.65841
2.1 2.62043
2.2 2.58246
2.3 2.54448
2.4 2.50651
2.5 2.46854
2.6 2.43056
2.7 2.39259
2.8 2.35461
2.9 2.31664
3 2.27866
3.1 2.24069
3.2 2.20271
3.3 2.16474
3.4 2.12676
3.5 2.08879
3.6 2.05081
3.7 2.01284
3.8 1.97487
3.9 1.93689
4 1.89892
4.1 1.86094
4.2 1.82297
4.3 1.78499
4.4 1.74702
4.5 1.70904
4.6 1.67107
4.7 1.63309
4.8 1.59512
4.9 1.55714
5 1.51917
