1.20715 2.32633 1
-0.430888 0.262198 1
1.79651 2.29179 1
0.821785 1.81829 1
-2.0614 1.13393 1
1.009 0.0388574 1
5.31812 1.69257 1
1.76475 1.5194 1
2.53238 -1.63343 1
1.21358 0.642687 1
1.31347 2.27048 1
-0.0826423 0.52392 1
0.447394 1.42253 1
1.20952 1.16804 1
1.20932 3.37023 1
2.49926 1.84261 1
-0.704944 2.86326 1
1.81098 1.87176 1
0.993121 -0.071093 1
1.09085 0.0792266 1
1.07014 0.249752 1
3.28865 3.75747 1
1.61038 1.60032 1
1.67778 -0.527566 1
0.566893 0.876763 1
0.776296 0.892761 1
2.25982 1.61377 1
-0.453851 1.92375 1
3.25039 1.76988 1
1.80178 1.38273 1
-1.2444 4.6753 1
0.464373 0.55207 1
2.92764 0.809479 1
1.92374 -0.546251 1
0.956357 0.687236 1
1.16697 1.12713 1
4.36366 4.23705 1
-0.0776338 3.94763 1
-1.3444 2.42583 1
3.12419 0.16822 1
2.09052 1.67697 1
1.93186 0.67409 1
1.64281 -0.718224 1
-1.17981 -0.863947 1
1.3946 0.970637 1
2.30742 1.30548 1
0.543775 -0.939739 1
-0.511989 -0.773815 1
1.83365 2.89418 1
3.61416 1.7802 1
4.80235 7.51766 0
4.38185 3.588 0
6.43902 2.46206 0
0.853375 5.17489 0
4.91733 1.4331 0
-1.55087 6.76842 0
0.879542 3.77757 0
5.4911 2.75779 0
3.1494 1.46147 0
2.54597 4.11392 0
6.04693 2.5044 0
2.19494 2.4033 0
4.17761 4.21195 0
-0.229975 6.37676 0
5.79052 2.58387 0
0.532448 3.56717 0
5.05497 4.85105 0
7.39775 5.07298 0
3.35278 5.4745 0
-1.31447 3.72931 0
3.38707 1.34024 0
3.06815 6.75824 0
5.34106 4.14392 0
4.89402 3.29014 0
5.61078 1.89374 0
1.103 4.53743 0
-1.83209 5.27148 0
2.38096 3.88106 0
4.96506 7.62183 0
4.56064 4.95639 0
0.694776 3.41378 0
-0.725231 6.33441 0
2.22533 6.57025 0
3.66298 4.20664 0
5.14661 5.85484 0
3.36799 6.64893 0
6.00403 2.69086 0
3.08537 5.4381 0
3.70775 7.16637 0
1.68367 3.7168 0
3.48926 3.92345 0
2.65314 6.72223 0
5.56378 1.55217 0
2.73823 3.45904 0
3.13483 2.91581 0
-2.19982 3.28992 0
0.399353 1.88014 0
-1.3473 4.60582 0
2.02278 4.4366 0
3.50739 3.14368 0
