-5 5.35053
-4.9 5.31241
-4.8 5.27429
-4.7 5.23617
-4.6 5.19805
-4.5 5.15992
-4.4 5.1218
-4.3 5.08368
-4.2 5.04556
-4.1 5.00744
-4 4.96931
-3.9 4.93119
-3.8 4.89307
-3.7 4.85495
-3.6 4.81683
-3.5 4.7787
-3.4 4.74058
-3.3 4.70246
-3.2 4.66434
-3.1 4.62622
-3 4.58809
-2.9 4.54997
-2.8 4.51185
-2.7 4.47373
-2.6 4.43561
-2.5 4.39748
-2.4 4.35936
-2.3 4.32124
-2.2 4.28312
-2.1 4.245
-2 4.20687
-1.9 4.16875
-1.8 4.13063
-1.7 4.09251
-1.6 4.05439
-1.5 4.01626
-1.4 3.97814
-1.3 3.94002
-1.2 3.9019
-1.1 3.86378
-1 3.82565
-0.9 3.78753
-0.8 3.74941
-0.7 3.71129
-0.6 3.67316
-0.5 3.63504
-0.4 3.59692
-0.3 3.5588
-0.2 3.52068
-0.1 3.48255
-1.02696e-15 3.44443
0.1 3.40631
0.2 3.36819
0.3 3.33007
0.4 3.29194
0.5 3.25382
0.6 3.2157
0.7 3.17758
0.8 3.13946
0.9 3.10133
1 3.06321
1.1 3.02509
1.2 2.98697
1.3 2.94885
1.4 2.91072
1.5 2.8726
1.6 2.83448
1.7 2.79636
1.8 2.75824
1.9 2.72011
2 2.68199
2.1 2.64387
2.2 2.60575
2.3 2.56763
2.4 2.5295
2.5 2.49138
2.6 2.45326
2.7 2.41514
2.8 2.37702
2.9 2.33889
3 2.30077
3.1 2.26265
3.2 2.22453
3.3 2.18641
3.4 2.14828
3.5 2.11016
3.6 2.07204
3.7 2.03392
3.8 1.9958
3.9 1.95767
4 1.91955
4.1 1.88143
4.2 1.84331
4.3 1.80519
4.4 1.76706
4.5 1.72894
4.6 1.69082
4.7 1.6527
4.8 1.61458
4.9 1.57645
5 1.53833
